txId,status,ok,req_start,resp_end,e2e_s,db_ts
61b353ab-95e7-4f06-bd72-d4ba111d28fe,202,True,1758679250.7551088,1758679250.7700868,60.02722954750061,2025-09-24 02:00:50.766829+00:00
894336d9-789c-4507-84da-7a5e75145801,202,True,1758679250.7601151,1758679250.7701912,60.022223234176636,2025-09-24 02:00:50.766829+00:00
aafeaf52-ab8d-4001-b73b-3e61ff27c713,202,True,1758679250.7596514,1758679250.770259,60.02268695831299,2025-09-24 02:00:50.766829+00:00
a2e3ebda-05c6-4a83-85d3-a6ad4c86719e,202,True,1758679250.7598903,1758679250.7703152,60.02244806289673,2025-09-24 02:00:50.766829+00:00
0e71e019-b44e-4fa2-887e-fa83ca8c5607,202,True,1758679250.7600114,1758679250.7703931,60.022326946258545,2025-09-24 02:00:50.766829+00:00
de079053-4ead-4bd3-afa1-5ad25bc8f17c,202,True,1758679250.760229,1758679250.770486,60.022109270095825,2025-09-24 02:00:50.766829+00:00
510bf4ef-97a8-4b5f-bfbc-7dd96db6b3e4,202,True,1758679250.760429,1758679250.7708895,60.02190947532654,2025-09-24 02:00:50.767342+00:00
2af6739e-1816-482e-b76e-8cd2b857b5fa,202,True,1758679250.7603316,1758679250.7713528,60.02200675010681,2025-09-24 02:00:50.767342+00:00
a2d97985-6779-496b-bf83-10832d01287d,202,True,1758679250.760515,1758679250.7715232,60.02182340621948,2025-09-24 02:00:50.768880+00:00
8048a560-6840-4cfe-ab79-74efd3a54566,202,True,1758679250.7606015,1758679250.7716084,60.02173686027527,2025-09-24 02:00:50.768880+00:00
56b76d16-906d-41d7-9ab4-bbf989da2d47,202,True,1758679251.749287,1758679251.7574477,59.03305149078369,2025-09-24 02:00:51.752456+00:00
f99466b4-be66-453a-91db-3b67f5d90268,202,True,1758679251.74976,1758679251.7579834,59.032578468322754,2025-09-24 02:00:51.753452+00:00
dba1280a-0556-43ba-b646-e7798c1cc1a0,202,True,1758679251.7507138,1758679251.759104,59.03162455558777,2025-09-24 02:00:51.756521+00:00
a4eb660e-ab7d-41b3-9370-41ff69f02c86,202,True,1758679251.751546,1758679251.7601619,59.030792474746704,2025-09-24 02:00:51.757525+00:00
0baff344-df1e-422b-bdbe-c48de08eadfe,202,True,1758679251.7520485,1758679251.760469,59.03028988838196,2025-09-24 02:00:51.757525+00:00
6656fbea-8dc1-46d9-b147-14ae5f78a043,202,True,1758679251.7501044,1758679251.7612922,59.03223395347595,2025-09-24 02:00:51.758855+00:00
52dda725-1b43-44a8-8a82-5f3544983e97,202,True,1758679251.7517939,1758679251.7615452,59.03054451942444,2025-09-24 02:00:51.759852+00:00
ca19bc38-c774-4963-8648-58be83aa94b2,202,True,1758679251.7512798,1758679251.7622075,59.03105854988098,2025-09-24 02:00:51.760859+00:00
bf999aef-1ec5-4906-9ce6-7e99299de4fc,202,True,1758679251.7504053,1758679251.7622867,59.031933069229126,2025-09-24 02:00:51.760859+00:00
718b67ec-a143-48a2-a9ef-0a1010ad9e13,202,True,1758679251.751012,1758679251.7626145,59.03132629394531,2025-09-24 02:00:51.761852+00:00
a9f21bc3-490a-4c9b-8ad2-d2ccc71100b6,202,True,1758679252.757782,1758679252.7623699,58.024556398391724,2025-09-24 02:00:52.760227+00:00
a8dad411-45bf-4a94-8ea2-3a8feef73dbe,202,True,1758679252.7581306,1758679252.7629242,58.02420783042908,2025-09-24 02:00:52.760227+00:00
09a6b129-ffd4-45b1-b22c-b0c94c98a442,202,True,1758679252.7586699,1758679252.7638662,58.02366852760315,2025-09-24 02:00:52.761592+00:00
1b283e88-dc61-4000-8e63-3f95d14d2f2f,202,True,1758679252.75911,1758679252.7649896,58.02322840690613,2025-09-24 02:00:52.762599+00:00
a66965e4-c847-431e-8e2a-8e6f5ad34bf8,202,True,1758679252.7594333,1758679252.7652686,58.022905111312866,2025-09-24 02:00:52.762599+00:00
61d71826-59cd-40be-9067-8ac6a6af9201,202,True,1758679252.7583618,1758679252.7659662,58.02397656440735,2025-09-24 02:00:52.763864+00:00
450aacac-e0f6-4373-8b26-3a622d0efa61,202,True,1758679252.759277,1758679252.7663836,58.02306127548218,2025-09-24 02:00:52.764867+00:00
f7d01aad-21a0-4d17-9c9e-d9ce091b3029,202,True,1758679252.7589655,1758679252.7669911,58.02337288856506,2025-09-24 02:00:52.764867+00:00
a6ba70b8-f46a-4f57-bede-9f572178eeb5,202,True,1758679252.7585235,1758679252.7676132,58.02381491661072,2025-09-24 02:00:52.766492+00:00
c106bf5c-ef4b-4f37-b253-8e83da7903d4,202,True,1758679252.7588217,1758679252.7677011,58.02351665496826,2025-09-24 02:00:52.766492+00:00
1dce392f-634d-4823-93ab-89c00d651967,202,True,1758679253.754071,1758679253.7586753,57.02826738357544,2025-09-24 02:00:53.756440+00:00
631b710b-250c-4c3f-8ae3-655965f111c2,202,True,1758679253.7544434,1758679253.7595217,57.02789497375488,2025-09-24 02:00:53.756440+00:00
255d7a90-6206-4ef9-8c63-c22864d1d76e,202,True,1758679253.7549863,1758679253.760703,57.02735209465027,2025-09-24 02:00:53.757726+00:00
4fbfb350-9e1f-4107-b206-53733c69e479,202,True,1758679253.755421,1758679253.7620108,57.026917457580566,2025-09-24 02:00:53.759731+00:00
63083cb3-f16a-491e-9507-af294861b4e2,202,True,1758679253.7557485,1758679253.762301,57.02658987045288,2025-09-24 02:00:53.759731+00:00
7d6d7ebe-8c97-4f4d-9120-348f00e76467,202,True,1758679253.7546725,1758679253.763019,57.027665853500366,2025-09-24 02:00:53.761236+00:00
